data_type,coda_method,scenario,window,rmse,mae,correlation,max_deviation,n_valid
acceleration,envelope,bias_early,s_wave,0.08150103239651402,0.06624961848875725,0.9869768720614704,0.14951392349928827,20
acceleration,envelope,bias_early,coda,0.0,0.0,1.0,0.0,20
acceleration,envelope,bias_late,pre_event,0.18686252777263185,0.14607969333326193,-0.9889926784065418,0.35243908247669276,20
acceleration,envelope,bias_late,p_wave,0.12370995265046361,0.1050434465559427,-0.7586271445190166,0.1963258459709081,20
acceleration,envelope,bias_late,s_wave,0.2625223295865852,0.2199050866574334,-0.7757287015131296,0.4468998826132086,20
acceleration,envelope,bias_late,coda,0.0,0.0,1.0,0.0,20
acceleration,median,noise_small,pre_event,0.04922260819751607,0.036412474307274165,-0.8776160813227079,0.10316155840086716,20
acceleration,median,noise_small,p_wave,0.07345347237204336,0.05502438407447983,0.6581266533660048,0.14639807549505646,20
acceleration,median,noise_small,s_wave,0.04984990389004836,0.04764585018499003,0.9996152408474568,0.05937811424910511,20
acceleration,median,noise_small,coda,0.0,0.0,1.0,0.0,20
acceleration,median,noise_medium,pre_event,0.08136970316447,0.06142246720133717,0.9892317831489079,0.16023514065885272,20
acceleration,median,noise_medium,p_wave,0.017186589906189598,0.016043992104373524,0.7672334787861114,0.023584717534755578,20
acceleration,median,noise_medium,s_wave,0.011004028763566204,0.00872742335495089,0.9999176280235939,0.025164506325902947,20
acceleration,median,noise_medium,coda,0.0,0.0,1.0,0.0,20
acceleration,median,noise_large,pre_event,0.053933643453489645,0.04161949460206373,-0.954377445498172,0.1052046213239492,20
acceleration,median,noise_large,p_wave,0.2649356032233969,0.21592195992435032,-0.6744245493336503,0.469776402422708,20
acceleration,median,noise_large,s_wave,0.03631858074750482,0.03496240383995522,0.9994447931601969,0.048356957867748906,20
acceleration,median,noise_large,coda,0.0,0.0,1.0,0.0,20
acceleration,median,bias_early,pre_event,0.10073656949670372,0.08964435940053854,0.9939566354319253,0.15301427833441206,20
acceleration,median,bias_early,p_wave,0.02141595876057405,0.01953782192146232,0.405251032406966,0.028799903126791544,20
acceleration,median,bias_early,s_wave,0.11874015077958326,0.09078212426298185,0.9987908073511625,0.23004749664488222,20
acceleration,median,bias_early,coda,0.0,0.0,1.0,0.0,20
acceleration,median,bias_late,pre_event,0.18686252777263185,0.14607969333326193,-0.9889926784065418,0.35243908247669276,20
acceleration,median,bias_late,p_wave,0.12370995265046361,0.1050434465559427,-0.7586271445190166,0.1963258459709081,20
acceleration,median,bias_late,s_wave,0.36943959976518137,0.2927838123050857,0.9522323027358769,0.6830169301284892,20
acceleration,median,bias_late,coda,0.0,0.0,1.0,0.0,20
velocity,rautian,noise_small,pre_event,0.09205684910608163,0.0835102126636892,0.9969501607096268,0.1378998889577191,14
velocity,rautian,noise_small,p_wave,0.04903211954878501,0.037274438650090426,0.9190699992655785,0.10437024641152136,14
velocity,rautian,noise_small,s_wave,0.16399248594335575,0.12810564059859675,0.9909380002964212,0.31455036054134666,20
velocity,rautian,noise_small,coda,0.0,0.0,1.0,0.0,20
velocity,rautian,noise_medium,pre_event,0.042590573596689246,0.03674862178140196,0.980121913589909,0.08470220868206269,14
velocity,rautian,noise_medium,p_wave,0.10368852887931933,0.07909726245854261,0.6838411418889103,0.1875246825926627,14
velocity,rautian,noise_medium,s_wave,0.33073198801653714,0.2793848396378265,0.9985587077459736,0.5886268750061654,20
velocity,rautian,noise_medium,coda,0.0,0.0,1.0,0.0,20
velocity,rautian,noise_large,pre_event,0.1123929531308575,0.09082017714397937,0.9688669282669014,0.19143765783286232,14
velocity,rautian,noise_large,p_wave,0.04753760510483921,0.04140940953802743,0.9800785252346738,0.08259963271447707,14
velocity,rautian,noise_large,s_wave,0.9402249488689317,0.841062208654275,0.9975767632900748,1.5728356621641466,20
velocity,rautian,noise_large,coda,0.0,0.0,1.0,0.0,20
velocity,rautian,bias_early,pre_event,0.09248549561230644,0.08249387857289411,0.9961137526328513,0.14146667440585148,14
velocity,rautian,bias_early,p_wave,0.1742206704851752,0.12465225927073728,0.7010609266792234,0.446542801153924,14
velocity,rautian,bias_early,s_wave,0.8655845611826958,0.7153806783859337,0.9265411151439903,1.6108266375826954,20
velocity,rautian,bias_early,coda,0.0,0.0,1.0,0.0,20
velocity,rautian,bias_late,pre_event,0.1438944165458446,0.12236674563797593,0.9448900351935864,0.23240870248274254,14
velocity,rautian,bias_late,p_wave,0.061898516913431574,0.050241498919166315,0.8094711225543559,0.17309326648792436,14
velocity,rautian,bias_late,s_wave,0.3066559229346424,0.25642557049398507,0.9966004837825331,0.540367570688717,20
velocity,rautian,bias_late,coda,0.0,0.0,1.0,0.0,20
velocity,arias,noise_small,pre_event,0.09205684910608163,0.0835102126636892,0.9969501607096268,0.1378998889577191,14
velocity,arias,noise_small,p_wave,0.04903211954878501,0.037274438650090426,0.9190699992655785,0.10437024641152136,14
velocity,arias,noise_small,s_wave,0.14987069502477868,0.11989603986659883,0.9897981429939591,0.44208390422778665,20
velocity,arias,noise_small,coda,0.0,0.0,1.0,0.0,20
velocity,arias,noise_medium,pre_event,0.042590573596689246,0.03674862178140196,0.980121913589909,0.08470220868206269,14
velocity,arias,noise_medium,p_wave,0.10368852887931933,0.07909726245854261,0.6838411418889103,0.1875246825926627,14
velocity,arias,noise_medium,s_wave,0.08334781852777305,0.07779292592109713,0.9982010363763576,0.11942023610241392,20
velocity,arias,noise_medium,coda,0.0,0.0,1.0,0.0,20
velocity,arias,noise_large,pre_event,0.1123929531308575,0.09082017714397937,0.9688669282669014,0.19143765783286232,14
velocity,arias,noise_large,p_wave,0.04753760510483921,0.04140940953802743,0.9800785252346738,0.08259963271447707,14
velocity,arias,noise_large,s_wave,0.14436194682662906,0.12284308836225961,0.9992377034149748,0.24793131026296678,20
velocity,arias,noise_large,coda,0.0,0.0,1.0,0.0,20
velocity,arias,bias_early,pre_event,0.09248549561230644,0.08249387857289411,0.9961137526328513,0.14146667440585148,14
velocity,arias,bias_early,p_wave,0.1742206704851752,0.12465225927073728,0.7010609266792234,0.446542801153924,14
velocity,arias,bias_early,s_wave,0.457564263194908,0.3783619712630898,0.9920689391243316,0.8070403166623347,20
velocity,arias,bias_early,coda,0.0,0.0,1.0,0.0,20
velocity,arias,bias_late,pre_event,0.1438944165458446,0.12236674563797593,0.9448900351935864,0.23240870248274254,14
velocity,arias,bias_late,p_wave,0.061898516913431574,0.050241498919166315,0.8094711225543559,0.17309326648792436,14
velocity,arias,bias_late,s_wave,0.4081246936128329,0.3466629211416342,0.9963490249944649,0.6714767704843457,20
velocity,arias,bias_late,coda,0.0,0.0,1.0,0.0,20
velocity,envelope,noise_small,pre_event,0.09205684910608163,0.0835102126636892,0.9969501607096268,0.1378998889577191,14
velocity,envelope,noise_small,p_wave,0.04903211954878501,0.037274438650090426,0.9190699992655785,0.10437024641152136,14
velocity,envelope,noise_small,s_wave,0.22158934394744226,0.16980814574778805,0.9932497693538691,0.4276980191009545,20
